school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
4,shri shamkara,mavi,tanahun,2.0
5,janajagrriti,mavi,tanahun,2.5
6,da~nasi~najare,pravi,bhojpur,2.0
7,cha~nachaha~nga,pravi,bhojpur,2.0
8,kheshvara,pravi,bhojpur,2.0
14,jalpa,nimavi,bhojpur,2.5
20,chandeshvara,mavi,bhojpur,2.0
28,siddheshvara,avi,lalitpur,1.5
36,simha jaleshvari,nimavi,bhojpur,1.5
43,,avi,siraha,2.5
44,jharagau,pravi,tanahun,2.0
47,timma,pravi,bhojpur,2.0
50,vani,mavi,siraha,1.5
52,chimkeshvari,nimavi,tanahun,1.5
53,rashtiya,nimavi,ilam,2.0
54,kiramteshvara,pravi,ilam,2.0
56,adaraniya,nimavi,ilam,1.5
58,millachoka,nimavi,ilam,1.5
60,shikshakshamakanya,pravi,bhojpur,2.0
61,balamiteri,mavi,bhojpur,2.0
64,shri,mavi,chitwan,2.0
65,khartancha,nimavi,bhojpur,1.5
73,varabhanjya,nimavi,ilam,2.0
81,simheshvari,avi,ilam,2.0
83,dobhana,pravi,ilam,2.0
85,iraumtara,avi,ilam,2.5
86,vidya,pravi,ilam,2.0
87,maheshvara,pravi,ilam,2.0
88,vikri,pravi,ilam,2.0
91,adarsha,pravi,ilam,2.5
94,drripadavi,pravi,ilam,2.0
102,siddhamahakali,mavi,tanahun,2.0
103,lakshmi narayana,pravi,bhojpur,2.0
109,simhadevi,mavi,bhojpur,2.0
110,lakshmi,mavi,syangja,1.5
111,ananda,avi,bardiya,2.5
115,janaka,mavi,nawalparasi,2.5
117,jivanajyaeti,avi,bhaktapur,2.0
125,kusmavati,pravi,tanahun,2.0
126,krrishna gandaki,pravi,tanahun,2.5
127,shri,avi,chitwan,1.5
130,mukundeshvari,pravi,tanahun,2.0
133,chandrajyoti,mavi,tanahun,2.0
135,samgama,mavi,kaski,1.5
137,adarsha,mavi,bhaktapur,2.5
139,shri kalika devi,pravi,ilam,2.0
140,subhadra,pravi,ilam,2.5
141,navinapragati,pravi,ilam,2.0
143,lakshmi devi,pravi,ilam,2.0
145,kaligandaki,avi,tanahun,2.5
146,mahadeva,avi,tanahun,2.5
148,sumbeka,nimavi,ilam,1.5
149,siddeshvari,pravi,ilam,2.0
151,narayani namuna,mavi,bhaktapur,1.5
157,varachuli,mavi,nawalparasi,1.5
161,lakshmi vidya bhavana,avi,ilam,2.0
163,gajuramukhi,avi,ilam,2.0
164,j~nanodaya,pravi,ilam,2.0
169,hamalaya,nimavi,ilam,2.5
174,valakanya,nimavi,ilam,2.0
175,yuvavarsha,pravi,ilam,1.5
178,maheshvara,nimavi,ilam,1.5
182,jalpa,pravi,ilam,2.5
186,jalapa,nimavi,ilam,2.0
189,valamandala,mavi,ilam,2.0
192,thokaphela,pravi,ilam,2.0
197,siddhadeumai,nimavi,ilam,2.5
200,narayanachaura,pravi,tanahun,1.5
204,bhrrikuti,mavi,tanahun,2.5
210,janata jayasavala,mavi,dhanusha,2.0
211,,mavi,dhanusha,2.5
215,lakshmi,nimavi,tanahun,1.5
217,simhaadarsha,pravi,ilam,2.0
229,kailasha,pravi,ilam,2.5
231,indradevi,nimavi,tanahun,2.5
232,ra,pravi,chitwan,2.5
233,kaligamga,mavi,baitadi,2.0
234,arunodaya,avi,ilam,2.5
235,balakesha,mavi,tanahun,1.5
238,bhimasuna,avi,ilam,2.0
240,guru~nagaum,pravi,ilam,2.0
244,krrishnalaya,avi,tanahun,1.5
248,,avi,dhanusha,2.5
249,gorkha kalika,avi,gorkha,2.0
254,chanrdodaya,pravi,tanahun,2.5
257,sarasvati,nimavi,khotang,2.5
258,jana vikasa,pravi,khotang,2.0
259,sarasvati khota~na,,khotang,1.5
264,shanti,pravi,tanahun,2.5
265,krrishna,mavi,tanahun,2.5
267,ghataveshi,avi,gorkha,2.0
270,amara,nimavi,tanahun,2.5
274,pelu~na,pravi,khotang,2.0
281,jaladevi,avi,nawalparasi,2.5
285,,nimavi,khotang,2.5
288,chandrodaya,pravi,tanahun,2.5
290,sarasvati,nimavi,tanahun,2.5
