school_id_A,school_id_B,root_school_name_A,root_school_old_name1_B,school_level_A,school_level_old_name1_B,district_A,district_B,Fuzzy_match_score,Match_Type
4,44015,shri shamkara,shree parbati,mavi,mavi,tanahun,tanahun,2.0,"District: complete, School level: complete, Root name: partial"
5,32818,janajagrriti,janajagrati,mavi,mavi,tanahun,sindhuli,2.5,"District: no match, School level: complete, Root name: complete"
6,11858,da~nasi~najare,hajare,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
7,11073,cha~nachaha~nga,chandika  shadananda sangpang,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
8,12008,kheshvara,himsikhar,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
14,12230,jalpa,jalpa,nimavi,pravi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
20,11068,chandeshvara,chandeswor,mavi,mavi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
28,11291,siddheshvara,desh kalayan,avi,avi,lalitpur,morang,1.5,"District: no match, School level: complete, Root name: partial"
36,1820,simha jaleshvari,bidhya pokhari,nimavi,pravi,bhojpur,bhojpur,1.5,"District: complete, School level: no match, Root name: partial"
43,1570,,,avi,avi,siraha,udayapur,2.5,"District: no match, School level: complete, Root name: complete"
44,4492,jharagau,bhairab,pravi,pravi,tanahun,tanahun,2.0,"District: complete, School level: complete, Root name: partial"
47,17001,timma,sumnima,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
50,1527,vani,bani,mavi,mavi,siraha,morang,1.5,"District: no match, School level: complete, Root name: partial"
53,15036,rashtiya,rastriya,nimavi,pravi,ilam,sunsari,2.0,"District: no match, School level: no match, Root name: complete"
52,190,chimkeshvari,phakshi,nimavi,nimavi,tanahun,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
54,12093,kiramteshvara,irautar,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
56,158,adaraniya,adarsha niketen ebs,nimavi,,ilam,ilam,1.5,"District: complete, School level: no match, Root name: partial"
60,12595,shikshakshamakanya,janashram kalyan,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
58,1161,millachoka,ambika,nimavi,nimavi,ilam,taplejung,1.5,"District: no match, School level: complete, Root name: partial"
61,13412,balamiteri,laxmi,mavi,mavi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
64,33441,shri,khaireni,mavi,mavi,chitwan,chitwan,2.0,"District: complete, School level: complete, Root name: partial"
65,1242,khartancha,arun ganga,nimavi,pravi,bhojpur,bhojpur,1.5,"District: complete, School level: no match, Root name: partial"
73,1538,varabhanjya,bar bhanjyang ni,nimavi,nimavi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
81,16448,simheshvari,siddha deumai,avi,avi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
85,12093,iraumtara,irautar,avi,pravi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
83,1703,dobhana,bhanu bhakta,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
86,1808,vidya,bidhyodaya,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
